ID,BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,COUNTY
1684,Brokered by Arc Realty Llc,House for sale,1249000,3,4,2400.0,"1187 Rhinelander Ave, Bronx, NY 10461, USA",40.8533232,-73.8509691,Bronx County
1685,Brokered by Fave Realty Inc,House for sale,635000,3,2,1200.0,"1645 E 92nd St, Brooklyn, NY 11236, USA",40.6322163,-73.894288,Kings County
1686,Brokered by TDMT - The Development Marketing Team,Co-op for sale,499000,2,1,2184.207862,"167 Havemeyer St #8a, Brooklyn, NY 11211, USA",40.7109875,-73.9577649,Kings County
1687,Brokered by Geo Real Estate Group Inc,Multi-family home for sale,999000,3,6,2184.207862,"590 Maple St, Brooklyn, NY 11203, USA",40.661217,-73.9412284,Kings County
1688,"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,17995000,6,7,8068.0,"25 W 88th St, New York, NY 10024, USA",40.7871816,-73.96924,New York County
1689,Brokered by Brown Harris Stevens - 43 North Moore Street,Co-op for sale,639000,3,2,2184.207862,"42-22 Ketcham St, Elmhurst, NY 11373, USA",40.7447145,-73.8835344,Queens County
1690,Brokered by Geo Real Estate Group Inc,Multi-family home for sale,999000,3,6,2184.207862,"590 Maple St, Brooklyn, NY 11203, USA",40.661217,-73.9412284,Kings County
1691,Brokered by Corcoran Brooklyn Heights,Co-op for sale,1099000,2,1,2184.207862,"143 Lafayette Ave #1a, Brooklyn, NY 11205, USA",40.6876421,-73.9721671,Kings County
1692,Brokered by Ashford Homes,Condo for sale,318000,1,1,638.0,"45 Francine Ct, Staten Island, NY 10306, USA",40.5698778,-74.1224355,Richmond County
1693,Brokered by COMPASS,Co-op for sale,475000,3,1,2184.207862,"41 Jane St #4c, New York, NY 10014, USA",40.7383084,-74.0046097,New York County
1694,Brokered by Elite Real Estate Group 1 Llc,Multi-family home for sale,875000,4,2,2034.0,"2740 Seymour Ave, Bronx, NY 10469, USA",40.8664714,-73.845984,Bronx County
1695,Brokered by Wonica REALTORS & Appraisers,Multi-family home for sale,739900,4,2,2000.0,"41 Clifton St, Staten Island, NY 10314, USA",40.6066581,-74.1639294,Richmond County
1696,Brokered by EXP Realty,Co-op for sale,409000,2,1,2184.207862,"6960 108th St Apt 501, Forest Hills, NY 11375, USA",40.7236399,-73.84481,Queens County
1697,Brokered by Keller Williams Realty Group,Condo for sale,275000,2,2,969.0,"1086 E 73rd St #75, Brooklyn, NY 11234, USA",40.6280579,-73.9171101,Kings County
1698,Brokered by Elite Realty of USA Inc,Multi-family home for sale,989000,4,4,2184.207862,"120-10 135th St, Jamaica, NY 11420, USA",40.6751744,-73.8037556,Queens County
1699,Brokered by COMPASS,Townhouse for sale,1750000,9,8,5000.0,"104 Jackson St, Brooklyn, NY 11211, USA",40.7162658,-73.94726,Kings County
1700,Brokered by COMPASS,Co-op for sale,285000,3,1,2184.207862,"45 Tudor City Pl Apt 708, New York, NY 10017, USA",40.7489931,-73.97025,New York County
1701,Brokered by Douglas Elliman - 575 Madison Ave,House for sale,12495000,4,2,7825.0,"121 E 83rd St, New York, NY 10028, USA",40.7780321,-73.9574506,New York County
1702,"Brokered by JOHN A MAGUIRE REAL ESTATE, LL",Pending,695000,2,2,1200.0,"8701 Shore Rd Apt 344, Brooklyn, NY 11209, USA",40.6249201,-74.0404698,Kings County
1703,Brokered by COMPASS,Townhouse for sale,3450000,6,4,4400.0,"215 W 138th St, New York, NY 10030, USA",40.8177498,-73.9430199,New York County
1704,Brokered by Realty Executives Metro Garden,Co-op for sale,435000,2,1,925.0,"66-15 Thornton Pl, Rego Park, NY 11374, USA",40.7232542,-73.8576166,Queens County
1705,Brokered by Corcoran Westside Columbus,Co-op for sale,220000,2,1,922.0,"3245 Perry Ave #1f, Bronx, NY 10467, USA",40.8758111,-73.8765929,Bronx County
1706,Brokered by The Bouklis Group - The Bouklis Group Astoria,House for sale,1988800,3,4,2071.0,"145 5th Ave #1, New York, NY 10010, USA",40.7400544,-73.9903941,New York County
1707,Brokered by Douglas Elliman - 690 Washington,Co-op for sale,3300000,2,2,2184.207862,"6 E 68th St #2, New York, NY 10065, USA",40.769433,-73.9683331,New York County
1708,Brokered by qvtopservice,Co-op for sale,135000,1,1,792.0,"1040 Neilson St Apt 2f, Far Rockaway, NY 11691, USA",40.6030799,-73.74755,Queens County
1709,Brokered by E Realty International Corp,Co-op for sale,468000,2,1,1200.0,"8811 Elmhurst Ave Apt C11, Elmhurst, NY 11373, USA",40.7455899,-73.8778899,Queens County
1710,Brokered by Serhant,Townhouse for sale,5999999,4,4,4375.0,"310 E 69th St, New York, NY 10021, USA",40.7665309,-73.9594908,New York County
1711,Brokered by Realty Connect USA LLC,Co-op for sale,318000,1,1,748.0,"40-40 203rd St #5b, Flushing, NY 11361, USA",40.7604949,-73.7815883,Queens County
1712,Brokered by The Bouklis Group - The Bouklis Group,Condo for sale,649000,2,1,705.0,"14-43 28th Ave bb1, Astoria, NY 11102, USA",40.7715328,-73.9273805,Queens County
1713,"Brokered by JOHN A MAGUIRE REAL ESTATE, LL",House for sale,1875000,3,2,1496.0,"96 86th St, Brooklyn, NY 11209, USA",40.6246037,-74.0368286,Kings County
1714,Brokered by Madison Estates Sotheby's International Realty,House for sale,1350000,3,2,1584.0,"1719 E 22nd St, Brooklyn, NY 11229, USA",40.6096678,-73.9511136,Kings County
1715,Brokered by Corcoran SoHo,Co-op for sale,3345000,4,4,3000.0,"151 W 86th St #3d, New York, NY 10024, USA",40.7875112,-73.9739349,New York County
1716,Brokered by BHHS New York Properties,Co-op for sale,899000,1,2,2184.207862,"41 W 96th St #9d, New York, NY 10025, USA",40.7926602,-73.9663357,New York County
1717,Brokered by Opulence Properties,House for sale,799000,3,2,1816.0,"149 Durant Ave, Staten Island, NY 10306, USA",40.5557686,-74.1327357,Richmond County
1718,Brokered by Corcoran Chelsea/Flatiron,Condo for sale,5000000,3,3,2162.0,"71 Park Ave #10a-B, New York, NY 10016, USA",40.749728,-73.978916,New York County
1719,Brokered by RE MAX Edge,Pending,464998,2,2,1657.0,"2650 Ocean Pkwy #10b, Brooklyn, NY 11235, USA",40.5855624,-73.9669734,Kings County
1720,Brokered by Serhant,Condo for sale,5250000,3,3,1757.0,"75 1st Ave., New York, NY 10003, USA",40.725653,-73.987132,New York County
1721,Brokered by Corcoran East Side,Co-op for sale,1995000,2,2,1200.0,"40 W 67th St #8b, New York, NY 10023, USA",40.773416,-73.979787,New York County
1722,Brokered by Howard Hanna | Rand Realty,Condo for sale,504000,3,2,1004.0,"2833 Ely Ave #2, Bronx, NY 10469, USA",40.8688161,-73.8356153,Bronx County
1723,Brokered by Douglas Elliman - 140 Franklin,Co-op for sale,1295000,2,1,2184.207862,"156 Bank St #1a, New York, NY 10014, USA",40.7359888,-74.0091474,New York County
1724,Brokered by Corcoran East Side,Co-op for sale,1995000,2,2,1200.0,"40 W 67th St #8b, New York, NY 10023, USA",40.773416,-73.979787,New York County
1725,Brokered by RE MAX Edge,Pending,464998,2,2,1657.0,"2650 Ocean Pkwy #10b, Brooklyn, NY 11235, USA",40.5855624,-73.9669734,Kings County
1726,Brokered by Serhant,Condo for sale,5250000,3,3,1757.0,"75 1st Ave., New York, NY 10003, USA",40.725653,-73.987132,New York County
1727,Brokered by Momentum Real Estate Llc,Pending,699000,3,2,864.0,"319 Montreal Ave, Staten Island, NY 10306, USA",40.5594124,-74.1258541,Richmond County
1728,Brokered by Motivated Access Realty Corp.,Multi-family home for sale,949000,7,3,2745.0,"431 St Lawrence Ave, Bronx, NY 10473, USA",40.8136198,-73.8633277,Bronx County
1729,Brokered by Ben Bay Rlty Of Marine Pk Llc,Pending,1488000,2,2,1464.0,"1119 85th St, Brooklyn, NY 11228, USA",40.6171732,-74.0169489,Kings County
1730,Brokered by BRISMAN REALTY,Co-op for sale,319999,1,1,660.0,"1717 E 14th St #2h, Brooklyn, NY 11229, USA",40.6077014,-73.958782,Kings County
1731,Brokered by RE MAX Edge,Condo for sale,999000,3,2,1301.0,"1414 W 4th St ph5, Brooklyn, NY 11204, USA",40.6116529,-73.978693,Kings County
1732,Brokered by Showcase Realty Inc,Co-op for sale,475000,1,1,950.0,"35-24 78th St #67, Jackson Heights, NY 11372, USA",40.75054,-73.8885096,Queens County
1733,Brokered by Serhant,Co-op for sale,399000,3,1,2184.207862,"530 E 84th St #1m, New York, NY 10028, USA",40.7738633,-73.9465735,New York County
1734,Brokered by Top Nest Inc,House for sale,479900,3,2,1088.0,"971 Schenck Ave, Brooklyn, NY 11207, USA",40.6567481,-73.8802564,Kings County
1735,Brokered by Homefinders of SI Inc.,Condo for sale,615000,2,4,1568.0,"253 Windham Loop, Staten Island, NY 10314, USA",40.577069,-74.161888,Richmond County
1736,Brokered by RE MAX Real Estate Professionals,House for sale,1150000,3,2,1700.0,"7713 20th Ave, Brooklyn, NY 11214, USA",40.6092336,-73.9930917,Kings County
1737,"Brokered by Century 21 Amiable Realty Group II, Inc.",Co-op for sale,225000,1,1,2184.207862,"88-8 151st Ave #5a, Howard Beach, NY 11414, USA",40.6685699,-73.8471189,Queens County
1738,Brokered by RE/MAX City Square,Co-op for sale,284888,1,1,2184.207862,"37-21 80th St #4a, Flushing, NY 11372, USA",40.748924,-73.8857529,Queens County
1739,Brokered by E Realty International Corp,Condo for sale,585000,1,2,869.0,"63-36 99th St, Flushing, NY 11374, USA",40.7317078,-73.856834,Queens County
1740,"Brokered by Brooklyn Real Property, Inc",House for sale,720000,4,2,936.0,"1217 E 101st St, Brooklyn, NY 11236, USA",40.6404818,-73.8915337,Kings County
1741,Brokered by RE MAX Real Estate Professionals,House for sale,659000,3,2,1468.0,"412 Manhattan St, Staten Island, NY 10307, USA",40.4997983,-74.2411663,Richmond County
1742,Brokered by Douglas Elliman - 3544 Johnson Ave,Co-op for sale,249000,2,1,900.0,"5550 Fieldston Rd #9j, Bronx, NY 10471, USA",40.9035132,-73.9002037,Bronx County
1743,Brokered by Corcoran East Side,Co-op for sale,1495000,3,2,1650.0,"215 W 98th St #5c, New York, NY 10025, USA",40.7958454,-73.9702391,New York County
1744,Brokered by Magic Of Great Neck Realty Inc,Co-op for sale,295000,1,2,980.0,"26910 Grand Central Pkwy #11b, Queens, NY 11005, USA",40.7577991,-73.7159564,Queens County
1745,Brokered by Bergen Basin Realty Llc,Pending,699000,4,4,1619.0,"1379 E 93rd St, Brooklyn, NY 11236, USA",40.6376197,-73.898975,Kings County
1746,Brokered by E Realty International Corp,House for sale,738000,4,2,2184.207862,"111-87 43rd Ave, Flushing, NY 11368, USA",40.7506139,-73.851888,Queens County
1747,Brokered by Douglas Elliman - Central Nassau,Pending,400000,2,1,2184.207862,"280 Dean St Apartment 23, Brooklyn, NY 11217, USA",40.684191,-73.982522,Kings County
1748,Brokered by GOLDEN REAL CORP.,Co-op for sale,289000,1,1,750.0,"3100 Brighton 3rd St #4b, Brooklyn, NY 11235, USA",40.5764319,-73.9643613,Kings County
1749,Brokered by R Jaundoo Realty Llc,Co-op for sale,187000,4,1,1076.0,"950 Hoe Ave #2b, Bronx, NY 10459, USA",40.8224272,-73.8900397,Bronx County
1750,Brokered by COMPASS,Townhouse for sale,3500000,8,7,4952.0,"336 Convent Ave, New York, NY 10031, USA",40.8239685,-73.9470302,New York County
1751,"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,4995000,6,6,4000.0,"218 E 31st St, New York, NY 10016, USA",40.74338,-73.9787014,New York County
1752,Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,3400000,3,3,2184.207862,"65 Central Park W #10c, New York, NY 10023, USA",40.7727705,-73.9787651,New York County
1753,Brokered by All Area Brokerage Inc,Co-op for sale,155000,1,1,2184.207862,"87-15 165th St #4j, Jamaica, NY 11432, USA",40.7104509,-73.7982064,Queens County
1754,Brokered by One Manhattan real estate - Upper East Side office,Co-op for sale,689000,3,2,1500.0,"31-21 54th St #1a, Flushing, NY 11377, USA",40.7563916,-73.9071359,Queens County
1755,Brokered by R New York,Townhouse for sale,2150000,5,3,2940.0,"134 Rutland Rd, Brooklyn, NY 11225, USA",40.6588649,-73.956073,Kings County
1756,Brokered by Brown Harris Stevens - 1926 Broadway,Co-op for sale,675000,3,1,2184.207862,"1793 Riverside Dr #4f, New York, NY 10034, USA",40.8667064,-73.9304963,New York County
1757,"Brokered by Robert Defalco Realty, Inc.",House for sale,889000,3,2,2052.0,"4521 Hylan Blvd, Staten Island, NY 10312, USA",40.5312573,-74.157737,Richmond County
1758,Brokered by RE MAX City Square,Co-op for sale,260000,1,1,800.0,"2950 Ocean Ave #11, Brooklyn, NY 11235, USA",40.5892251,-73.94999,Kings County
1759,Brokered by COMPASS,Condo for sale,4200000,3,3,2584.0,"16 Warren St APT 5, New York, NY 10007, USA",40.7142326,-74.0075258,New York County
1760,Brokered by COMPASS,Condo for sale,749000,1,2,908.0,"112-01 Queens Blvd #8a, Forest Hills, NY 11375, USA",40.7190009,-73.8365029,Queens County
1761,"Brokered by Neuhaus Realty, Inc.",Contingent,639000,3,2,1360.0,"521 Leverett Ave, Staten Island, NY 10308, USA",40.5557386,-74.1635281,Richmond County
1762,Brokered by CENTURY 21 Achievers,Multi-family home for sale,799000,5,2,2184.207862,"2455 Bedford Ave, Brooklyn, NY 11226, USA",40.6437284,-73.9543625,Kings County
1763,Brokered by Corcoran Park Slope,Condo for sale,700000,3,2,1245.0,"3536 Cambridge Ave #4f, Bronx, NY 10463, USA",40.8861342,-73.90767,Bronx County
1764,Brokered by RE/MAX Elite,Condo for sale,297000,3,1,600.0,"40 Brighton 1st Rd #2m, Brooklyn, NY 11235, USA",40.5756277,-73.9667833,Kings County
1765,"Brokered by Nest Seekers International, Tribeca",Co-op for sale,455000,1,1,725.0,"415 E 85th St #1a, New York, NY 10028, USA",40.7760324,-73.9487922,New York County
1766,Brokered by Corcoran Chelsea/Flatiron,Condo for sale,6500000,3,4,2190.0,"50 W 30th St Ph 2, New York, NY 10001, USA",40.746995,-73.989381,New York County
1767,Brokered by Elegran Real Estate And Development,Townhouse for sale,1299000,11,8,4560.0,"1963 Hobart Ave, Bronx, NY 10461, USA",40.8512668,-73.8314532,Bronx County
1768,Brokered by Nareema Baksh Real Estate,Multi-family home for sale,1279000,16,8,3550.0,"761 Home St, Bronx, NY 10456, USA",40.8282675,-73.9014729,Bronx County
1769,Brokered by Oxford Property Group,Pending,799000,3,1,1200.0,"177 W 83rd St #4s, New York, NY 10024, USA",40.7856899,-73.976047,New York County
1770,Brokered by Azbel Real Estate Inc,Co-op for sale,475000,2,2,1150.0,"458 Neptune Ave #4c, Brooklyn, NY 11224, USA",40.5794182,-73.9709078,Kings County
1771,Brokered by COMPASS,Co-op for sale,209000,1,1,2184.207862,"200 E 17th St 2 97, Brooklyn, NY 11226, USA",40.6456538,-73.9636266,Kings County
1772,Brokered by Coldwell Banker Labarca,House for sale,1325000,4,3,2200.0,"2215 E 72nd St, Brooklyn, NY 11234, USA",40.618445,-73.9043606,Kings County
1773,Brokered by RE MAX Elite,Co-op for sale,259000,1,1,625.0,"325 Marine Ave Apt C8, Brooklyn, NY 11209, USA",40.6147332,-74.0337807,Kings County
1774,Brokered by Serhant,Townhouse for sale,899000,4,3,1960.0,"88-47 247th St, Jamaica, NY 11426, USA",40.727846,-73.720774,Queens County
1775,Brokered by New York 1 Homes Network Inc,Multi-family home for sale,1325000,6,5,2184.207862,"126-18 148th St, Jamaica, NY 11436, USA",40.6727654,-73.7902788,Queens County
1776,Brokered by Gilbert Perez,Co-op for sale,345000,3,2,1100.0,"6601 Broadway #3a, Bronx, NY 10471, USA",40.908552,-73.896916,Bronx County
1777,Brokered by Carollo Real Estate Inc,Condo for sale,1088000,4,2,2184.207862,"16828 Powells Cove Blvd #12, Flushing, NY 11357, USA",40.7932921,-73.7951779,Queens County
1778,"Brokered by Tom Crimmins Realty, Ltd.",House for sale,669000,3,2,2191.0,"933 Jewett Ave, Staten Island, NY 10314, USA",40.6136236,-74.1305336,Richmond County
1779,"Brokered by Compass Greater Ny, Llc",Multi-family home for sale,1388000,3,2,2520.0,"1801 Avenue L, Brooklyn, NY 11230, USA",40.620978,-73.957202,Kings County
1780,Brokered by Trademarko Realty Inc,House for sale,1475000,5,3,2637.0,"53-30 61st St, Maspeth, NY 11378, USA",40.7291232,-73.9042682,Queens County
1781,Brokered by Carollo Real Estate Inc,Condo for sale,1088000,4,2,2184.207862,"16828 Powells Cove Blvd #12, Flushing, NY 11357, USA",40.7932921,-73.7951779,Queens County
1782,Brokered by Corcoran East Side,Condo for sale,1375000,2,2,2184.207862,"400 E 90th St, New York, NY 10128, USA",40.7791814,-73.9472929,New York County
1783,Brokered by My Home Advisors Llc,House for sale,1099000,3,4,2037.0,"1385 E 34th St, Brooklyn, NY 11234, USA",40.621735,-73.941847,Kings County
1784,Brokered by Brown Harris Stevens,Townhouse for sale,900000,4,3,2184.207862,"6031 Huxley Ave, Bronx, NY 10471, USA",40.9083747,-73.8985781,Bronx County
1785,Brokered by Hauseit LLC - Hauseit LLC,Co-op for sale,599000,2,2,1350.0,"4 E 95th St #1b, New York, NY 10128, USA",40.7868163,-73.9557515,New York County
1786,Brokered by COMPASS,Co-op for sale,1295000,2,2,2184.207862,"71 E 77th St Apt 9b, New York, NY 10075, USA",40.774576,-73.9624413,New York County
1787,Brokered by Manhattan Network Inc,Condo for sale,479900,1,1,550.0,"2141 2nd Ave #5c, New York, NY 10029, USA",40.7934089,-73.9407833,New York County
1788,Brokered by Corcoran SoHo,House for sale,4200000,3,1,2560.0,"35 Stuyvesant St, New York, NY 10003, USA",40.7300715,-73.9880189,New York County
1789,Brokered by Hometown Properties,Co-op for sale,188000,3,1,300.0,"460 Ovington Ave #5h, Brooklyn, NY 11209, USA",40.6327714,-74.022251,Kings County
1790,Brokered by Manhattan Network Inc,Condo for sale,479900,1,1,550.0,"2141 2nd Ave #5c, New York, NY 10029, USA",40.7934089,-73.9407833,New York County
1791,Brokered by COMPASS,Co-op for sale,1295000,2,2,2184.207862,"71 E 77th St Apt 9b, New York, NY 10075, USA",40.774576,-73.9624413,New York County
1792,Brokered by American Homes Group,House for sale,739999,4,2,1976.0,"387 Fingerboard Rd, Staten Island, NY 10305, USA",40.6021404,-74.0713152,Richmond County
1793,Brokered by DiTommaso Real Estate,Foreclosure,475000,3,2,1204.0,"57 Skyline Dr, Staten Island, NY 10304, USA",40.615479,-74.079293,Richmond County
1794,Brokered by RE MAX Edge,House for sale,2250000,6,4,3432.0,"2635 E 28th St, Brooklyn, NY 11235, USA",40.5884214,-73.9412863,Kings County
1795,"Brokered by BEN BAY REALTY, CO.",Condo for sale,875000,2,2,1050.0,"118 Battery Ave #4c, Brooklyn, NY 11209, USA",40.6165537,-74.024429,Kings County
1796,Brokered by ProBase Real Estate,House for sale,499000,3,2,1786.0,"81 Park Hill Ct, Staten Island, NY 10304, USA",40.6178525,-74.0758856,Richmond County
1797,Brokered by Akcess24homes Inc,House for sale,749000,4,2,2184.207862,"557 Drew St, Brooklyn, NY 11208, USA",40.6771904,-73.8625697,Kings County
1798,Brokered by COMPASS,Co-op for sale,4400000,3,3,3500.0,"141 W 26th St Apt 2, New York, NY 10001, USA",40.7454222,-73.9925061,New York County
1799,Brokered by Weichert Realtors Evolution Group,House for sale,855000,3,2,1383.0,"306 Oldfield St, Staten Island, NY 10306, USA",40.5725396,-74.1007568,Richmond County
1800,Brokered by Piastro Realty LLC,Co-op for sale,525000,2,1,1300.0,"50 Brighton 1st Rd #2d, Brooklyn, NY 11235, USA",40.5751942,-73.9669983,Kings County
1801,Brokered by BERGEN BASIN REALTY,Condo for sale,715000,2,2,1021.0,"2805 E 26th St #1a, Brooklyn, NY 11235, USA",40.5846063,-73.9426052,Kings County
1802,Brokered by Corcoran East Side,Townhouse for sale,7950000,4,4,2184.207862,"175 E 78th St, New York, NY 10075, USA",40.7740082,-73.9583902,New York County
1803,Brokered by Gillani Homes Inc.,Contingent,550000,3,2,1424.0,"572 Davis Ave, Staten Island, NY 10310, USA",40.6292321,-74.1082798,Richmond County
1804,Brokered by Brown Harris Stevens,Condo for sale,17500000,7,4,6300.0,"140 Franklin St #2b, New York, NY 10013, USA",40.7193658,-74.0072206,New York County
1805,Brokered by Welhome Realty Inc,House for sale,1528000,4,2,2184.207862,"43-28 169th St, Flushing, NY 11358, USA",40.757398,-73.7979996,Queens County
1806,Brokered by E Realty International Corp,House for sale,1287777,5,2,2184.207862,"88-25 63rd Ave, Flushing, NY 11374, USA",40.7257724,-73.8680711,Queens County
1807,Brokered by Sowae Corp,House for sale,330000,3,1,2184.207862,"21 Miami Ct, Brooklyn, NY 11225, USA",40.6604827,-73.9468571,Kings County
1808,Brokered by Welcome Home R E Sunnyside,Co-op for sale,375000,1,1,2184.207862,"39-65 52nd St #5b, Woodside, NY 11377, USA",40.7467824,-73.9119505,Queens County
1809,Brokered by Amorelli Realty LLC,Pending,875000,3,2,2184.207862,"24-47 43rd St, Astoria, NY 11103, USA",40.7671317,-73.9087817,Queens County
1810,Brokered by COMPASS,Co-op for sale,750000,3,2,2184.207862,"3555 80th St Apt 52, Jackson Heights, NY 11372, USA",40.7515899,-73.8865299,Queens County
1811,Brokered by Corcoran Bedford Stuyvesant,Multi-family home for sale,1350000,3,3,2184.207862,"750A Lafayette Ave, Brooklyn, NY 11221, USA",40.690647,-73.9431579,Kings County
1812,"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,27000000,5,7,2184.207862,"64 Bedford St, New York, NY 10014, USA",40.7312282,-74.0046153,New York County
1813,Brokered by COMPASS,Co-op for sale,599000,1,1,755.0,"452 W 50th St #4a, New York, NY 10019, USA",40.7643103,-73.9913297,New York County
1814,Brokered by KELLER WILLIAMS REALTY LANDMARK II,Multi-family home for sale,1200000,6,3,2184.207862,"86-30 91st St, Jamaica, NY 11421, USA",40.6943555,-73.8543804,Queens County
1815,Brokered by KELLER WILLIAMS REALTY LANDMARK II,Multi-family home for sale,1200000,6,3,2184.207862,"86-30 91st St, Jamaica, NY 11421, USA",40.6943555,-73.8543804,Queens County
1816,"Brokered by Triolo Realty Group, Inc.",House for sale,749000,4,3,2013.0,"606 Tompkins Ave., Staten Island, NY 10305, USA",40.6109749,-74.0710212,Richmond County
1817,Brokered by Keller Williams NYC,Multi-family home for sale,1900000,6,4,2565.0,"794 Bergen St, Brooklyn, NY 11238, USA",40.6778716,-73.9615757,Kings County
1818,Brokered by Keller Williams Realty NYC Grp,House for sale,590000,3,1,1360.0,"2540 Woodhull Ave, Bronx, NY 10469, USA",40.8642583,-73.8414813,Bronx County
1819,Brokered by COMPASS,Condo for sale,1395000,3,2,1494.0,"1 Wall St APT 505, New York, NY 10005, USA",40.705216,-74.0085311,New York County
1820,Brokered by Behfar Team Llc,House for sale,3595000,6,3,2184.207862,"1558 E 9th St, Brooklyn, NY 11230, USA",40.6108399,-73.9647401,Kings County
1821,Brokered by RE MAX Distinguished Homes & Properties,Multi-family home for sale,1300000,14,6,5103.0,"1565 St Peters Ave, Bronx, NY 10461, USA",40.8403844,-73.8478179,Bronx County
1822,Brokered by Tapestry Real Estate of Queens,House for sale,868000,3,2,1452.0,"40-51 172nd St, Flushing, NY 11358, USA",40.7592798,-73.7939528,Queens County
1823,Brokered by Winzone Realty Inc,Multi-family home for sale,1248000,6,3,2400.0,"2532 E 26th St, Brooklyn, NY 11235, USA",40.5904715,-73.9441041,Kings County
1824,Brokered by RE MAX Edge,Multi-family home for sale,1449000,7,3,2400.0,"422 43rd St, Brooklyn, NY 11232, USA",40.649911,-74.007989,Kings County
1825,Brokered by EXP Realty,Co-op for sale,338000,1,1,2184.207862,"34-40 79th St #1b, Queens, NY 11372, USA",40.7522642,-73.8878675,Queens County
1826,Brokered by RE/MAX Team,Pending,988000,2,2,2451.0,"165-15 Cross Island Pkwy, Flushing, NY 11357, USA",40.7864686,-73.7971724,Queens County
1827,Brokered by Exp Realty,Co-op for sale,339000,1,1,2184.207862,"4230 Douglaston Pkwy Apt 7b, Douglaston, NY 11363, USA",40.7686099,-73.74772,Queens County
1828,"Brokered by Robert Defalco Realty, Inc.",Contingent,1099000,6,6,3219.0,"111 Highland Rd, Staten Island, NY 10308, USA",40.549134,-74.142459,Richmond County
1829,Brokered by Brown Harris Stevens- 3531 Johnson Avenue,Condo for sale,1181000,2,2,1541.0,"640 W 237th St #15a, Bronx, NY 10463, USA",40.8879309,-73.9121663,Bronx County
1830,Brokered by Goldstone N Y Realty Llc,Co-op for sale,219000,1,1,2184.207862,"150-25 72nd Rd, Flushing, NY 11367, USA",40.7288351,-73.8169278,Queens County
1831,Brokered by Doreen Greenwood Inc.,House for sale,588000,3,1,1080.0,"2956 Gerritsen Ave, Brooklyn, NY 11229, USA",40.5887247,-73.9208494,Kings County
1832,Brokered by Soler Realty,Multi-family home for sale,805000,6,2,2042.0,"1893 Harrison Ave, Bronx, NY 10453, USA",40.8527111,-73.9116009,Bronx County
1833,Brokered by Weichert Realtors The Franzese Group,House for sale,929000,3,2,1309.0,"1305 Elm Ave, Brooklyn, NY 11230, USA",40.6174291,-73.9615134,Kings County
1834,Brokered by EXP Realty,Pending,670000,1,2,908.0,"11201 Queens Blvd APT 21H, Forest Hills, NY 11375, USA",40.718793,-73.8365852,Queens County
1835,Brokered by City House Realty Inc.,House for sale,649000,3,2,1152.0,"471 Beach Rd, Staten Island, NY 10312, USA",40.544553,-74.159323,Richmond County
1836,Brokered by Douglas Elliman - Bayside,Co-op for sale,439900,2,1,1000.0,"97-37 63rd Rd #4j, Rego Park, NY 11374, USA",40.7318958,-73.8599645,Queens County
1837,Brokered by Brown Harris Stevens,Co-op for sale,2850000,3,2,2184.207862,"520 LaGuardia Pl Apt 7s, New York, NY 10012, USA",40.7282135,-73.9990284,New York County
1838,Brokered by Queens Quality Management,Co-op for sale,358000,2,1,2184.207862,"1530 212th St # 224, Bayside, NY 11360, USA",40.7856799,-73.7816,Queens County
1839,Brokered by Benjamin Realty Since 1980,Co-op for sale,299000,1,1,2184.207862,"70-31 108th St, Forest Hills, NY 11375, USA",40.7220791,-73.8436959,Queens County
1840,Brokered by Wilk Real Estate I Llc,House for sale,1389000,7,2,2184.207862,"1016 Gravesend Neck Rd, Brooklyn, NY 11223, USA",40.5943151,-73.9602134,Kings County
1841,Brokered by RE/MAX CLASSIC REALTY,House for sale,459999,1,1,640.0,"3308 Lucerne St, Bronx, NY 10465, USA",40.8426371,-73.8168754,Bronx County
1842,Brokered by Realty Connect USA LLC,House for sale,1999000,4,2,2600.0,"45 E Loop Rd, Staten Island, NY 10304, USA",40.5908362,-74.1019957,Richmond County
1843,Brokered by Chous Realty Group Inc,Multi-family home for sale,1180000,6,5,1810.0,"326 126th St, Queens, NY 11356, USA",40.793158,-73.8419309,Queens County
1844,Brokered by Corcoran Brooklyn Heights,Co-op for sale,650000,2,2,1200.0,"11020 71st Rd Apt 708, Forest Hills, NY 11375, USA",40.7216499,-73.84119,Queens County
1845,Brokered by REAL NEW YORK - Lower East Side,Co-op for sale,589000,2,2,1100.0,"10114 4th Ave #22a, Brooklyn, NY 11209, USA",40.6120095,-74.0345805,Kings County
1846,Brokered by REALHome Services & Solutions,House for sale,515000,3,1,882.0,"120-46 238th St, Jamaica, NY 11411, USA",40.6842823,-73.7278575,Queens County
1847,Brokered by Momentum Real Estate Llc,Multi-family home for sale,750000,2,3,1530.0,"90 Coale Ave, Staten Island, NY 10314, USA",40.6132884,-74.128148,Richmond County
1848,Brokered by Epic Homes NY,Condo for sale,1499999,2,2,901.0,"8 W 65th St APT 3A, New York, NY 10023, USA",40.7718553,-73.9799842,New York County
